"","method","thr","cellPerComb","introducedShift","TPR","FDR"
"1","msqrob2",0.05,"nCell10","shift0.15","0.63 ± 0.03","0.08 ± 0.01"
"2","pseudobulkMean",0.05,"nCell10","shift0.15","0.60 ± 0.02","0.07 ± 0.01"
"3","pseudobulkMedian",0.05,"nCell10","shift0.15","0.60 ± 0.02","0.07 ± 0.01"
"4","pseudobulkRobustSummary",0.05,"nCell10","shift0.15","0.60 ± 0.02","0.07 ± 0.01"
"5","pseudobulkSum",0.05,"nCell10","shift0.15","0.15 ± 0.03","0.08 ± 0.04"
"6","scp",0.05,"nCell10","shift0.15","0.93 ± 0.01","0.55 ± 0.00"
"7","msqrob2",0.05,"nCell25","shift0.15","0.67 ± 0.02","0.07 ± 0.02"
"8","pseudobulkMean",0.05,"nCell25","shift0.15","0.63 ± 0.03","0.06 ± 0.01"
"9","pseudobulkMedian",0.05,"nCell25","shift0.15","0.63 ± 0.03","0.06 ± 0.02"
"10","pseudobulkRobustSummary",0.05,"nCell25","shift0.15","0.63 ± 0.02","0.06 ± 0.01"
"11","pseudobulkSum",0.05,"nCell25","shift0.15","0.23 ± 0.02","0.08 ± 0.01"
"12","scp",0.05,"nCell25","shift0.15","0.98 ± 0.00","0.59 ± 0.01"
"13","msqrob2",0.05,"nCell50","shift0.15","0.68 ± 0.01","0.08 ± 0.01"
"14","pseudobulkMean",0.05,"nCell50","shift0.15","0.63 ± 0.01","0.07 ± 0.01"
"15","pseudobulkMedian",0.05,"nCell50","shift0.15","0.63 ± 0.01","0.07 ± 0.01"
"16","pseudobulkRobustSummary",0.05,"nCell50","shift0.15","0.63 ± 0.00","0.07 ± 0.01"
"17","pseudobulkSum",0.05,"nCell50","shift0.15","0.31 ± 0.03","0.08 ± 0.01"
"18","scp",0.05,"nCell50","shift0.15","0.99 ± 0.00","0.61 ± 0.01"
"19","msqrob2",0.05,"nCell100","shift0.15","0.68 ± 0.01","0.07 ± 0.01"
"20","pseudobulkMean",0.05,"nCell100","shift0.15","0.64 ± 0.02","0.06 ± 0.01"
"21","pseudobulkMedian",0.05,"nCell100","shift0.15","0.65 ± 0.02","0.06 ± 0.01"
"22","pseudobulkRobustSummary",0.05,"nCell100","shift0.15","0.64 ± 0.02","0.05 ± 0.01"
"23","pseudobulkSum",0.05,"nCell100","shift0.15","0.36 ± 0.02","0.08 ± 0.02"
"24","scp",0.05,"nCell100","shift0.15","1.00 ± 0.00","0.63 ± 0.00"
