"","method","thr","cellPerComb","introducedShift","TPR","FDR"
"1","msqrob2",0.05,"nCell50","shift0.1","0.24 ± 0.03","0.12 ± 0.01"
"2","pseudobulkMean",0.05,"nCell50","shift0.1","0.19 ± 0.03","0.09 ± 0.01"
"3","pseudobulkMedian",0.05,"nCell50","shift0.1","0.20 ± 0.03","0.10 ± 0.00"
"4","pseudobulkRobustSummary",0.05,"nCell50","shift0.1","0.19 ± 0.03","0.09 ± 0.01"
"5","pseudobulkSum",0.05,"nCell50","shift0.1","0.08 ± 0.01","0.11 ± 0.04"
"6","scp",0.05,"nCell50","shift0.1","0.96 ± 0.01","0.62 ± 0.01"
"7","msqrob2",0.05,"nCell50","shift0.15","0.68 ± 0.01","0.08 ± 0.01"
"8","pseudobulkMean",0.05,"nCell50","shift0.15","0.63 ± 0.01","0.07 ± 0.01"
"9","pseudobulkMedian",0.05,"nCell50","shift0.15","0.63 ± 0.01","0.07 ± 0.01"
"10","pseudobulkRobustSummary",0.05,"nCell50","shift0.15","0.63 ± 0.00","0.07 ± 0.01"
"11","pseudobulkSum",0.05,"nCell50","shift0.15","0.31 ± 0.03","0.08 ± 0.01"
"12","scp",0.05,"nCell50","shift0.15","0.99 ± 0.00","0.61 ± 0.01"
"13","msqrob2",0.05,"nCell50","shift0.2","0.94 ± 0.01","0.07 ± 0.00"
"14","pseudobulkMean",0.05,"nCell50","shift0.2","0.92 ± 0.01","0.06 ± 0.01"
"15","pseudobulkMedian",0.05,"nCell50","shift0.2","0.92 ± 0.01","0.06 ± 0.01"
"16","pseudobulkRobustSummary",0.05,"nCell50","shift0.2","0.92 ± 0.01","0.06 ± 0.01"
"17","pseudobulkSum",0.05,"nCell50","shift0.2","0.54 ± 0.01","0.07 ± 0.01"
"18","scp",0.05,"nCell50","shift0.2","1.00 ± 0.00","0.61 ± 0.01"
"19","msqrob2",0.05,"nCell50","shift0.25","0.99 ± 0.00","0.07 ± 0.00"
"20","pseudobulkMean",0.05,"nCell50","shift0.25","0.99 ± 0.00","0.06 ± 0.00"
"21","pseudobulkMedian",0.05,"nCell50","shift0.25","0.99 ± 0.00","0.06 ± 0.01"
"22","pseudobulkRobustSummary",0.05,"nCell50","shift0.25","0.99 ± 0.00","0.06 ± 0.00"
"23","pseudobulkSum",0.05,"nCell50","shift0.25","0.71 ± 0.01","0.07 ± 0.01"
"24","scp",0.05,"nCell50","shift0.25","1.00 ± 0.00","0.61 ± 0.00"
