"nCell" "rep" "step" "sizeTotalBefore" "sizeTotalAfter" "sizeAssayBefore" "sizeAssayAfter" "sizeRowDataBefore" "sizeRowDataAfter" "sizeColDataBefore" "sizeColDataAfter" "nFeat"
200 1 "benchmarkFilterFeatures" 101834968 53032408 13780552 6865648 87230136 45470608 63944 63944 NA
200 1 "benchmarkFilterSamples" 101834968 96727640 13780552 8755040 87230136 87230136 63944 33432 NA
200 1 "benchmarkZeroisNA" 101834968 101834968 13780552 13780552 87230136 87230136 63944 63944 NA
200 1 "benchmarkAggPSM" 101834968 187357760 13780552 27775120 87230136 134050000 63944 63944 NA
200 1 "benchmarkJoinPSM" 101834968 244950056 13780552 65954944 87230136 142993224 63944 63944 NA
200 1 "benchmarkNormSampPep" 168962704 198439680 41375680 63082360 101691032 107180840 63944 63944 13056
200 1 "benchmarkNormFeatPep" 168962704 198439680 41375680 63082360 101691032 107180840 63944 63944 13056
200 1 "benchmarkLogPep" 168962704 198439680 41375680 63082360 101691032 107180840 63944 63944 13056
200 1 "benchmarkAggPep" 168962704 180973080 41375680 46274336 101691032 102336928 63944 63944 13056
200 1 "benchmarkImputePro" 180973080 192067168 46274336 51172992 102336928 102982824 63944 63944 2921
