"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",2.42599999999948,93.8999999999999,302.7
"3","leduc<-leducSCR(leduc)",3.08600000000024,25.7,221.5
"4","leduc<-leducScSums(leduc)",2.84699999999975,-39,209.9
"5","leduc<-leducNormToRef(leduc)",5.28899999999976,0.0999999999999091,38.3
"6","leduc<-leducAggPSM(leduc)",59.6189999999997,74.6000000000001,151
"7","leduc<-leducConsensus(leduc,assaysNames)",2.7510000000002,0,66.8
"8","leduc<-leducMissingData(leduc,assaysNames)",8.56800000000021,0,50.5999999999999
"9","leduc<-leducJoin(leduc,assaysNames)",4.58700000000044,51.7,291.5
"10","leduc<-leducFilterCV(leduc,assaysNames)",3.64100000000053,-166.6,172.8
"11","leduc<-leducNormPep(leduc)",0.959000000000742,11.3,105.4
"12","leduc<-leducFilteringNA(leduc)",1.96399999999994,5.30000000000018,78.8000000000002
"13","leduc<-leducLogTransfo(leduc)",0.454999999999927,4.79999999999995,43.8999999999999
"14","leduc<-leducAggPep(leduc)",0.828999999999724,2.70000000000005,60.5
"15","leduc<-leducNormPro(leduc)",0.967999999999847,2.39999999999986,55.0999999999999
"16","leduc<-leducImpute(leduc)",1.96500000000015,-92.2,248.5
"17","leduc<-leducBatch(leduc)",0.804000000000087,1.10000000000014,40.1000000000001
"18","leduc<-leducNormBatch(leduc)",1.01900000000023,2.39999999999986,55.5999999999999
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE)",0.0819999999994252,0,71.7
