"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0.000999999999976353,0,0
"2","leduc<-leducFilterFeatures(leduc)",7.59399999999999,154,186.9
"3","leduc<-leducSCR(leduc)",12.974,-29.3,152.5
"4","leduc<-leducScSums(leduc)",11.165,-12.4000000000001,165
"5","leduc<-leducNormToRef(leduc)",99.22,0.299999999999955,118.5
"6","leduc<-leducAggPSM(leduc)",512.123,125.9,221
"7","leduc<-leducConsensus(leduc,assaysNames)",12.216,3,92.7
"8","leduc<-leducMissingData(leduc,assaysNames)",61.747,0,141.9
"9","leduc<-leducJoin(leduc,assaysNames)",19.742,332.9,880.9
"10","leduc<-leducNormPep(leduc)",11.504,646.7,1007.9
"11","leduc<-leducFilteringNA(leduc)",13.876,-119.8,1618.4
"12","leduc<-leducLogTransfo(leduc)",2.66999999999985,202.6,433.8
"13","leduc<-leducAggPep(leduc)",7.99000000000001,90.0999999999999,942.8
"14","leduc<-leducNormPro(leduc)",5.56200000000013,89.5999999999999,424.5
"15","leduc<-leducImpute(leduc)",561.429,-37.0999999999999,1466.7
"16","leduc<-leducBatch(leduc)",4.40700000000015,45,325.3
"17","leduc<-leducNormBatch(leduc)",5.82099999999991,89.7000000000003,471.5
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.202999999999975,0,112.5
