"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",18.435,1047.6,1077.1
"3","leduc<-leducSCR(leduc)",22.232,94.1000000000004,809.9
"4","leduc<-leducScSums(leduc)",19.13,-154.6,742.1
"5","leduc<-leducNormToRef(leduc)",100.863,0.400000000000091,101.9
"6","leduc<-leducAggPSM(leduc)",515.811,286.9,345.4
"7","leduc<-leducConsensus(leduc,assaysNames)",13.817,0.199999999999818,157.9
"8","leduc<-leducMissingData(leduc,assaysNames)",63.1050000000001,0,135.9
"9","leduc<-leducJoin(leduc,assaysNames)",35.422,335.2,885.6
"10","leduc<-leducNormPep(leduc)",8.52800000000002,646.7,2071.3
"11","leduc<-leducFilteringNA(leduc)",13.846,-118.4,1448.2
"12","leduc<-leducLogTransfo(leduc)",2.74700000000007,202.5,433.6
"13","leduc<-leducAggPep(leduc)",5.14200000000005,90.1000000000004,954.900000000001
"14","leduc<-leducNormPro(leduc)",5.66100000000006,89.6999999999998,424.5
"15","leduc<-leducImpute(leduc)",542.632,-620.5,2427.3
"16","leduc<-leducBatch(leduc)",4.48399999999992,45,325.3
"17","leduc<-leducNormBatch(leduc)",5.99499999999989,89.6999999999998,471.4
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.430999999999813,0,263.9
