"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"30.1...1","aggregation","leduc<-filterRow(leduc)",1.506,119.7,164.1,1,30
"30.2...2","aggregation","leduc<-filterCol(leduc)",8.221,-1.59999999999997,34.5000000000001,1,30
"30.3...3","aggregation","aggregatePSM(leduc)",39.708,64.8,139.8,1,30
"60.1...4","aggregation","leduc<-filterRow(leduc)",2.86799999999999,214.5,240.9,1,60
"60.2...5","aggregation","leduc<-filterCol(leduc)",31.666,-3.19999999999993,42.6,1,60
"60.3...6","aggregation","aggregatePSM(leduc)",71.352,114.2,196.1,1,60
"30.1...7","allOpti","leduc<-filterRow(leduc)",1.429,119.6,164.1,1,30
"30.2...8","allOpti","leduc<-filterCol(leduc)",1.07,-1.5,41.1,1,30
"30.3...9","allOpti","aggregatePSM(leduc)",38.607,64.8000000000001,146.4,1,30
"60.1...10","allOpti","leduc<-filterRow(leduc)",2.85900000000001,214.5,241,1,60
"60.2...11","allOpti","leduc<-filterCol(leduc)",2.06300000000002,-3.09999999999991,43.2,1,60
"60.3...12","allOpti","aggregatePSM(leduc)",73.248,114.1,188,1,60
"30.1...13","base","leduc<-filterRow(leduc)",1.508,119.6,164,1,30
"30.2...14","base","leduc<-filterCol(leduc)",8.32700000000001,-1.5,32.6,1,30
"30.3...15","base","aggregatePSM(leduc)",95.438,98.9,175.9,1,30
"60.1...16","base","leduc<-filterRow(leduc)",3.08800000000002,214.5,241.1,1,60
"60.2...17","base","leduc<-filterCol(leduc)",34.306,-3.09999999999991,43.3000000000001,1,60
"60.3...18","base","aggregatePSM(leduc)",202.837,182,255.7,1,60
"30.1...19","subsetByColData","leduc<-filterRow(leduc)",1.483,119.6,164,1,30
"30.2...20","subsetByColData","leduc<-filterCol(leduc)",1.12100000000001,-1.5,41.1,1,30
"30.3...21","subsetByColData","aggregatePSM(leduc)",96.275,98.9,175.5,1,30
"60.1...22","subsetByColData","leduc<-filterRow(leduc)",2.839,214.5,241.1,1,60
"60.2...23","subsetByColData","leduc<-filterCol(leduc)",2.06100000000001,-3.09999999999991,43.2,1,60
"60.3...24","subsetByColData","aggregatePSM(leduc)",192.162,182,263.2,1,60
