"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"500.1...1","aggregation","leduc<-filterRow(leduc)",1.277,90.9,133.7,1,500
"500.2...2","aggregation","leduc<-filterCol(leduc)",6.59999999999999,-1.20000000000005,28.5,1,500
"500.3...3","aggregation","aggregatePSM(leduc)",35.822,54.6,143.2,1,500
"500.4...4","aggregation","leduc<-filterRow(leduc)",2.36600000000001,90.7,131.6,2,500
"500.5...5","aggregation","leduc<-filterCol(leduc)",6.578,-1.30000000000001,26.3,2,500
"500.6...6","aggregation","aggregatePSM(leduc)",35.533,54.5,126.9,2,500
"500.7...7","aggregation","leduc<-filterRow(leduc)",1.29300000000001,90.7,131.6,3,500
"500.8...8","aggregation","leduc<-filterCol(leduc)",6.53999999999999,-1.30000000000001,26.3,3,500
"500.9...9","aggregation","aggregatePSM(leduc)",35.43,54.5,134.4,3,500
"1000.1...10","aggregation","leduc<-filterRow(leduc)",2.61499999999995,186.4,213.7,1,1000
"1000.2...11","aggregation","leduc<-filterCol(leduc)",26.182,-2.60000000000002,44,1,1000
"1000.3...12","aggregation","aggregatePSM(leduc)",60.16,99.2,169.5,1,1000
"1000.4...13","aggregation","leduc<-filterRow(leduc)",2.61599999999999,186.4,213.7,2,1000
"1000.5...14","aggregation","leduc<-filterCol(leduc)",26.277,-2.60000000000002,44,2,1000
"1000.6...15","aggregation","aggregatePSM(leduc)",59.3969999999999,99.2,175.3,2,1000
"1000.7...16","aggregation","leduc<-filterRow(leduc)",2.61799999999994,186.3,213.6,3,1000
"1000.8...17","aggregation","leduc<-filterCol(leduc)",26.282,-2.60000000000002,44,3,1000
"1000.9...18","aggregation","aggregatePSM(leduc)",60.833,99.2,184.6,3,1000
"2000.1...19","aggregation","leduc<-filterRow(leduc)",5.44899999999996,375.7,409.3,1,2000
"2000.2...20","aggregation","leduc<-filterCol(leduc)",107.868,-5.20000000000005,66,1,2000
"2000.3...21","aggregation","aggregatePSM(leduc)",149.88,222.9,318.3,1,2000
"2000.4...22","aggregation","leduc<-filterRow(leduc)",5.45099999999979,375.7,409.3,2,2000
"2000.5...23","aggregation","leduc<-filterCol(leduc)",108.337,-5.20000000000005,66,2,2000
"2000.6...24","aggregation","aggregatePSM(leduc)",151.877,222.9,320.2,2,2000
"2000.7...25","aggregation","leduc<-filterRow(leduc)",5.4670000000001,375.7,409.3,3,2000
"2000.8...26","aggregation","leduc<-filterCol(leduc)",109.211,-5.20000000000005,65.8999999999999,3,2000
"2000.9...27","aggregation","aggregatePSM(leduc)",151.055,222.9,300.1,3,2000
"4000.1...28","aggregation","leduc<-filterRow(leduc)",11.568,745.7,781.2,1,4000
"4000.2...29","aggregation","leduc<-filterCol(leduc)",446.547,-10.3,113.6,1,4000
"4000.3...30","aggregation","aggregatePSM(leduc)",256.152,396.8,487.4,1,4000
"4000.4...31","aggregation","leduc<-filterRow(leduc)",11.4679999999998,745.7,781.2,2,4000
"4000.5...32","aggregation","leduc<-filterCol(leduc)",444.537,-10.3,115,2,4000
"4000.6...33","aggregation","aggregatePSM(leduc)",258.616,396.8,506.5,2,4000
"4000.7...34","aggregation","leduc<-filterRow(leduc)",11.5919999999996,745.7,781.2,3,4000
"4000.8...35","aggregation","leduc<-filterCol(leduc)",447.116,-10.3,115.6,3,4000
"4000.9...36","aggregation","aggregatePSM(leduc)",258.259,396.8,490,3,4000
"500.1...37","allOpti","leduc<-filterRow(leduc)",1.26900000000001,91.3,134.1,1,500
"500.2...38","allOpti","leduc<-filterCol(leduc)",0.908999999999992,-1.09999999999997,36.3,1,500
"500.3...39","allOpti","aggregatePSM(leduc)",36.607,54.2,137,1,500
"500.4...40","allOpti","leduc<-filterRow(leduc)",1.26399999999998,91.2,132,2,500
"500.5...41","allOpti","leduc<-filterCol(leduc)",0.884000000000015,-1.30000000000001,30.2,2,500
"500.6...42","allOpti","aggregatePSM(leduc)",36.357,54.1,139.7,2,500
"500.7...43","allOpti","leduc<-filterRow(leduc)",1.25700000000001,91.2,132,3,500
"500.8...44","allOpti","leduc<-filterCol(leduc)",0.882000000000005,-1.30000000000001,30.2,3,500
"500.9...45","allOpti","aggregatePSM(leduc)",36.192,54.1,133.9,3,500
"1000.1...46","allOpti","leduc<-filterRow(leduc)",2.65499999999997,180.4,207.4,1,1000
"1000.2...47","allOpti","leduc<-filterCol(leduc)",1.88900000000001,-2.5,40.2,1,1000
"1000.3...48","allOpti","aggregatePSM(leduc)",71.759,107,186,1,1000
"1000.4...49","allOpti","leduc<-filterRow(leduc)",2.65699999999998,180.4,207.4,2,1000
"1000.5...50","allOpti","leduc<-filterCol(leduc)",1.90100000000001,-2.5,40.2,2,1000
"1000.6...51","allOpti","aggregatePSM(leduc)",72.206,107,207.3,2,1000
"1000.7...52","allOpti","leduc<-filterRow(leduc)",2.65499999999997,180.4,207.4,3,1000
"1000.8...53","allOpti","leduc<-filterCol(leduc)",1.90100000000001,-2.5,40.2,3,1000
"1000.9...54","allOpti","aggregatePSM(leduc)",71.131,107,189.5,3,1000
"2000.1...55","allOpti","leduc<-filterRow(leduc)",5.56100000000004,372.1,405.8,1,2000
"2000.2...56","allOpti","leduc<-filterCol(leduc)",4.00999999999999,-5.20000000000005,65.5,1,2000
"2000.3...57","allOpti","aggregatePSM(leduc)",135.86,198,276.4,1,2000
"2000.4...58","allOpti","leduc<-filterRow(leduc)",5.55100000000004,372.1,405.8,2,2000
"2000.5...59","allOpti","leduc<-filterCol(leduc)",4.00400000000002,-5.20000000000005,65.5,2,2000
"2000.6...60","allOpti","aggregatePSM(leduc)",135.056,198,298.8,2,2000
"2000.7...61","allOpti","leduc<-filterRow(leduc)",5.55499999999984,372.1,405.8,3,2000
"2000.8...62","allOpti","leduc<-filterCol(leduc)",4.00300000000016,-5.20000000000005,65.5,3,2000
"2000.9...63","allOpti","aggregatePSM(leduc)",136.688,198,290.9,3,2000
"4000.1...64","allOpti","leduc<-filterRow(leduc)",11.0450000000001,727.4,762.9,1,4000
"4000.2...65","allOpti","leduc<-filterCol(leduc)",8.11799999999994,-10,113.2,1,4000
"4000.3...66","allOpti","aggregatePSM(leduc)",246.438,387.2,465.1,1,4000
"4000.4...67","allOpti","leduc<-filterRow(leduc)",11.125,727.4,762.9,2,4000
"4000.5...68","allOpti","leduc<-filterCol(leduc)",8.11200000000008,-10,113.2,2,4000
"4000.6...69","allOpti","aggregatePSM(leduc)",246.022,387.2,499.7,2,4000
"4000.7...70","allOpti","leduc<-filterRow(leduc)",12.2700000000002,727.4,762.9,3,4000
"4000.8...71","allOpti","leduc<-filterCol(leduc)",8.08200000000033,-10,113.2,3,4000
"4000.9...72","allOpti","aggregatePSM(leduc)",244.907,387.2,497.5,3,4000
"500.1...73","base","leduc<-filterRow(leduc)",1.262,87.1,129.3,1,500
"500.2...74","base","leduc<-filterCol(leduc)",6.55000000000001,-1.09999999999997,28.5,1,500
"500.3...75","base","aggregatePSM(leduc)",75.596,73.3,148.5,1,500
"500.4...76","base","leduc<-filterRow(leduc)",1.27199999999999,87,127.3,2,500
"500.5...77","base","leduc<-filterCol(leduc)",6.53,-1.19999999999999,26.3,2,500
"500.6...78","base","aggregatePSM(leduc)",74.653,73.2,149.6,2,500
"500.7...79","base","leduc<-filterRow(leduc)",1.25899999999996,87,127.3,3,500
"500.8...80","base","leduc<-filterCol(leduc)",6.55399999999997,-1.19999999999999,26.3,3,500
"500.9...81","base","aggregatePSM(leduc)",75.646,73.2,188.9,3,500
"1000.1...82","base","leduc<-filterRow(leduc)",2.64800000000002,186,213.3,1,1000
"1000.2...83","base","leduc<-filterCol(leduc)",27.666,-2.59999999999991,43.8000000000001,1,1000
"1000.3...84","base","aggregatePSM(leduc)",174.794,162.1,240.3,1,1000
"1000.4...85","base","leduc<-filterRow(leduc)",2.65600000000006,186,213.3,2,1000
"1000.5...86","base","leduc<-filterCol(leduc)",26.556,-2.59999999999991,43.9000000000001,2,1000
"1000.6...87","base","aggregatePSM(leduc)",176.879,162.1,248.8,2,1000
"1000.7...88","base","leduc<-filterRow(leduc)",2.66000000000008,186,213.3,3,1000
"1000.8...89","base","leduc<-filterCol(leduc)",26.5479999999999,-2.59999999999991,43.9000000000001,3,1000
"1000.9...90","base","aggregatePSM(leduc)",174.985,162.1,242.3,3,1000
"2000.1...91","base","leduc<-filterRow(leduc)",5.48199999999997,376.3,410,1,2000
"2000.2...92","base","leduc<-filterCol(leduc)",108.95,-5.19999999999982,66.1000000000001,1,2000
"2000.3...93","base","aggregatePSM(leduc)",414.521,316.5,398.6,1,2000
"2000.4...94","base","leduc<-filterRow(leduc)",5.56999999999994,376.2,410,2,2000
"2000.5...95","base","leduc<-filterCol(leduc)",110.036,-5.19999999999982,66.2,2,2000
"2000.6...96","base","aggregatePSM(leduc)",410.906,316.5,386.1,2,2000
"2000.7...97","base","leduc<-filterRow(leduc)",5.51600000000008,376.2,410,3,2000
"2000.8...98","base","leduc<-filterCol(leduc)",109.108,-5.19999999999982,66.2,3,2000
"2000.9...99","base","aggregatePSM(leduc)",414.469,316.5,401.7,3,2000
