"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"4000.1...1","aggregation","tmp<-filterRow(leduc)",2.68799999999999,739.2,777.8,1,4000
"4000.2...2","aggregation","tmp<-filterCol(tmp)",425.904,-10.2,113.9,1,4000
"4000.3...3","aggregation","tmp<-aggregatePSM(tmp)",220.686,391.9,525.9,1,4000
"4000.4...4","aggregation","tmp<-joinAssays(tmp,peptideAssays,""peptides"")",63.0300000000001,524.4,1456.1,1,4000
"4000.5...5","aggregation","tmp<-logTransform(tmp,""peptides"",""log_peptides"")",2.16500000000008,504.5,1107.5,1,4000
"4000.6...6","aggregation","tmp<-sweep(tmp,i=""log_peptides"",name=""norm_peptides"",MARGIN=1,FUN=""-"",STATS=rowMedians(assay(tmp[[""log_peptides""]]),na.rm=TRUE))",2.66800000000012,504.4,1106.6,1,4000
"4000.1...7","allOpti","tmp<-filterRow(leduc)",2.78199999999998,761.8,800.8,1,4000
"4000.2...8","allOpti","tmp<-filterCol(tmp)",4.15199999999999,-10.5,120.3,1,4000
"4000.3...9","allOpti","tmp<-aggregatePSM(tmp)",228.156,404,581.4,1,4000
"4000.4...10","allOpti","tmp<-joinAssays(tmp,peptideAssays,""peptides"")",63.8349999999999,503.9,1409.8,1,4000
"4000.5...11","allOpti","tmp<-logTransform(tmp,""peptides"",""log_peptides"")",2.19799999999998,483.6,1067.1,1,4000
"4000.6...12","allOpti","tmp<-sweep(tmp,i=""log_peptides"",name=""norm_peptides"",MARGIN=1,FUN=""-"",STATS=rowMedians(assay(tmp[[""log_peptides""]]),na.rm=TRUE))",2.75800000000004,483.5,1066.3,1,4000
"4000.1...13","base","tmp<-filterRow(leduc)",2.72299999999996,742,780.6,1,4000
"4000.2...14","base","tmp<-filterCol(tmp)",429.662,-10.2,117.7,1,4000
"4000.3...15","base","tmp<-aggregatePSM(tmp)",725.348,620.1,756.4,1,4000
"4000.4...16","base","tmp<-joinAssays(tmp,peptideAssays,""peptides"")",62.2420000000002,519.2,1438.1,1,4000
"4000.5...17","base","tmp<-logTransform(tmp,""peptides"",""log_peptides"")",2.19200000000001,499.3,1097.7,1,4000
"4000.6...18","base","tmp<-sweep(tmp,i=""log_peptides"",name=""norm_peptides"",MARGIN=1,FUN=""-"",STATS=rowMedians(assay(tmp[[""log_peptides""]]),na.rm=TRUE))",2.69200000000001,499.3,1096.9,1,4000
"4000.1...19","subsetByColData","tmp<-filterRow(leduc)",2.70100000000002,737,775.4,1,4000
"4000.2...20","subsetByColData","tmp<-filterCol(tmp)",4.10599999999999,-10.1000000000001,116.9,1,4000
"4000.3...21","subsetByColData","tmp<-aggregatePSM(tmp)",716.124,620.4,726.2,1,4000
"4000.4...22","subsetByColData","tmp<-joinAssays(tmp,peptideAssays,""peptides"")",61.9989999999998,527,1452.6,1,4000
"4000.5...23","subsetByColData","tmp<-logTransform(tmp,""peptides"",""log_peptides"")",2.19200000000001,507,1112.6,1,4000
"4000.6...24","subsetByColData","tmp<-sweep(tmp,i=""log_peptides"",name=""norm_peptides"",MARGIN=1,FUN=""-"",STATS=rowMedians(assay(tmp[[""log_peptides""]]),na.rm=TRUE))",2.66200000000003,507,1111.9,1,4000
