"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",17.203,1047.6,1077.1
"3","leduc<-leducSCR(leduc)",20.961,94.1000000000004,809.9
"4","leduc<-leducScSums(leduc)",18.154,-154.6,742.1
"5","leduc<-leducNormToRef(leduc)",95.635,0.400000000000091,101.9
"6","leduc<-leducAggPSM(leduc)",779.963,286.9,346.3
"7","leduc<-leducConsensus(leduc,assaysNames)",28.5140000000001,0.199999999999818,157.9
"8","leduc<-leducMissingData(leduc,assaysNames)",125.792,0,135.9
"9","leduc<-leducJoin(leduc,assaysNames)",76.7080000000001,335.2,885.6
"10","leduc<-leducNormPep(leduc)",16.0799999999999,646.7,2071.3
"11","leduc<-leducFilteringNA(leduc)",27.271,-118.4,1448
"12","leduc<-leducLogTransfo(leduc)",5.41200000000003,202.5,433.6
"13","leduc<-leducAggPep(leduc)",9.47000000000003,90.1000000000004,954.900000000001
"14","leduc<-leducNormPro(leduc)",11.2190000000001,89.6999999999998,424.5
"15","leduc<-leducImpute(leduc)",1074.355,-620.5,2427.3
"16","leduc<-leducBatch(leduc)",8.68499999999995,45,325.3
"17","leduc<-leducNormBatch(leduc)",11.7510000000002,89.6999999999998,471.4
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",1.07400000000007,0,263.9
