"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"10.1...1","aggregation","aggregatePSM(leduc)",7.964,25.2,88.1,1,10
"10.2...2","aggregation","aggregatePSMscp(leduc)",5.236,24.9,82.2,1,10
"30.1...3","aggregation","aggregatePSM(leduc)",40.696,73.6,130.8,1,30
"30.2...4","aggregation","aggregatePSMscp(leduc)",15.978,73.6,156.5,1,30
"60.1...5","aggregation","aggregatePSM(leduc)",133.126,142.2,222.6,1,60
"60.2...6","aggregation","aggregatePSMscp(leduc)",32.529,142.2,229.3,1,60
"120.1...7","aggregation","aggregatePSM(leduc)",496.195,279.5,431.1,1,120
"120.2...8","aggregation","aggregatePSMscp(leduc)",70.5999999999999,279.5,397,1,120
"10.1...9","aggregation2","aggregatePSM(leduc)",6.223,25.2,88.1,1,10
"10.2...10","aggregation2","aggregatePSMscp(leduc)",5.16,24.9,81.3,1,10
"30.1...11","aggregation2","aggregatePSM(leduc)",28.302,73.6,133.4,1,30
"30.2...12","aggregation2","aggregatePSMscp(leduc)",15.911,73.6,129.2,1,30
"60.1...13","aggregation2","aggregatePSM(leduc)",87.373,142.2,213.7,1,60
"60.2...14","aggregation2","aggregatePSMscp(leduc)",32.383,142.2,226.5,1,60
"120.1...15","aggregation2","aggregatePSM(leduc)",304.73,279.5,367.6,1,120
"120.2...16","aggregation2","aggregatePSMscp(leduc)",68.486,279.5,413.5,1,120
"10.1...17","base","aggregatePSM(leduc)",5.506,25.2,83.8,1,10
"10.2...18","base","aggregatePSMscp(leduc)",5.17,24.9,81.3,1,10
"30.1...19","base","aggregatePSM(leduc)",20.448,73.6,144.9,1,30
"30.2...20","base","aggregatePSMscp(leduc)",15.312,73.6,148.8,1,30
"60.1...21","base","aggregatePSM(leduc)",55.466,142.2,205.6,1,60
"60.2...22","base","aggregatePSMscp(leduc)",32.844,142.2,215.3,1,60
"120.1...23","base","aggregatePSM(leduc)",175.488,279.5,343.1,1,120
"120.2...24","base","aggregatePSMscp(leduc)",69.346,279.5,411.8,1,120
"10.1...25","scpOpti","aggregatePSM(leduc)",5.552,25.2,83.8,1,10
"10.2...26","scpOpti","aggregatePSMscp(leduc)",4.86,24.7,73,1,10
"30.1...27","scpOpti","aggregatePSM(leduc)",20.701,73.6,144.9,1,30
"30.2...28","scpOpti","aggregatePSMscp(leduc)",14.383,72.9,151.1,1,30
"60.1...29","scpOpti","aggregatePSM(leduc)",56.831,142.2,202.8,1,60
"60.2...30","scpOpti","aggregatePSMscp(leduc)",31.213,140.8,232.8,1,60
"120.1...31","scpOpti","aggregatePSM(leduc)",170.595,279.5,349.1,1,120
"120.2...32","scpOpti","aggregatePSMscp(leduc)",63.4540000000001,276.7,381.8,1,120
