"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",4.91399999999999,-159,286.4
"3","leduc<-leducSCR(leduc)",5.02099999999996,25.7,221.3
"4","leduc<-leducScSums(leduc)",4.64400000000001,-38.9000000000001,205.9
"5","leduc<-leducNormToRef(leduc)",8.84300000000002,0,31.6000000000001
"6","leduc<-leducAggPSM(leduc)",105.753,74.6000000000001,141.8
"7","leduc<-leducConsensus(leduc,assaysNames)",5.26199999999994,0,63.5999999999999
"8","leduc<-leducMissingData(leduc,assaysNames)",14.317,0,46.5
"9","leduc<-leducJoin(leduc,assaysNames)",7.03600000000006,51.6999999999998,244.6
"10","leduc<-leducNormPep(leduc)",1.78500000000008,95.4000000000001,544.4
"11","leduc<-leducFilteringNA(leduc)",3.40300000000002,1.59999999999991,429.4
"12","leduc<-leducLogTransfo(leduc)",0.673000000000002,47.3000000000002,130.3
"13","leduc<-leducAggPep(leduc)",1.57100000000003,21.8,246.8
"14","leduc<-leducNormPro(leduc)",1.548,21.3999999999999,163.2
"15","leduc<-leducImpute(leduc)",34.52,-157.2,1083.4
"16","leduc<-leducBatch(leduc)",1.32500000000005,10.6999999999998,94
"17","leduc<-leducNormBatch(leduc)",1.63499999999999,21.4000000000001,142.5
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.122000000000071,0,73.0999999999999
