"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"500.1...1","aggregation","leduc<-filterRow(leduc)",1.12700000000001,20.3,62.9,1,500
"500.2...2","aggregation","leduc<-filterCol(leduc)",6.45899999999999,-1.20000000000002,34.6,1,500
"500.3...3","aggregation","aggregatePSM(leduc)",9.28999999999999,32.6,84.9,1,500
"500.4...4","aggregation","leduc<-filterRow(leduc)",1.11499999999999,20.2,60.7,2,500
"500.5...5","aggregation","leduc<-filterCol(leduc)",6.46300000000001,-1.30000000000001,30,2,500
"500.6...6","aggregation","aggregatePSM(leduc)",9.17599999999999,32.5,80.4,2,500
"500.7...7","aggregation","leduc<-filterRow(leduc)",1.11799999999999,20.2,60.7,3,500
"500.8...8","aggregation","leduc<-filterCol(leduc)",6.44299999999998,-1.30000000000001,30,3,500
"500.9...9","aggregation","aggregatePSM(leduc)",10.15,32.5,80.5,3,500
"1000.1...10","aggregation","leduc<-filterRow(leduc)",2.43299999999999,40.6,93.1,1,1000
"1000.2...11","aggregation","leduc<-filterCol(leduc)",26.07,-2.60000000000002,43.6,1,1000
"1000.3...12","aggregation","aggregatePSM(leduc)",19.349,65.4,121.8,1,1000
"1000.4...13","aggregation","leduc<-filterRow(leduc)",2.44400000000002,40.6,93.1,2,1000
"1000.5...14","aggregation","leduc<-filterCol(leduc)",26.238,-2.60000000000002,43.2,2,1000
"1000.6...15","aggregation","aggregatePSM(leduc)",20.467,65.4,119.7,2,1000
"1000.7...16","aggregation","leduc<-filterRow(leduc)",2.44799999999998,40.6,93.1,3,1000
"1000.8...17","aggregation","leduc<-filterCol(leduc)",26.292,-2.60000000000002,43.2,3,1000
"1000.9...18","aggregation","aggregatePSM(leduc)",19.284,65.4,121.3,3,1000
"2000.1...19","aggregation","leduc<-filterRow(leduc)",4.94800000000009,80.7,108.9,1,2000
"2000.2...20","aggregation","leduc<-filterCol(leduc)",105.36,-5.10000000000002,66.8,1,2000
"2000.3...21","aggregation","aggregatePSM(leduc)",39.179,130.3,195.8,1,2000
"2000.4...22","aggregation","leduc<-filterRow(leduc)",4.95600000000002,80.7,108.4,2,2000
"2000.5...23","aggregation","leduc<-filterCol(leduc)",106.007,-5.10000000000002,66.6,2,2000
"2000.6...24","aggregation","aggregatePSM(leduc)",39.1590000000001,130.3,184.6,2,2000
"2000.7...25","aggregation","leduc<-filterRow(leduc)",4.94399999999996,80.7,108.4,3,2000
"2000.8...26","aggregation","leduc<-filterCol(leduc)",105.251,-5.10000000000002,66.8,3,2000
"2000.9...27","aggregation","aggregatePSM(leduc)",39.2619999999999,130.3,197.4,3,2000
"4000.1...28","aggregation","leduc<-filterRow(leduc)",11.367,165.4,208.6,1,4000
"4000.2...29","aggregation","leduc<-filterCol(leduc)",428.698,-10.6,117,1,4000
"4000.3...30","aggregation","aggregatePSM(leduc)",82.6239999999998,266.7,348.4,1,4000
"4000.4...31","aggregation","leduc<-filterRow(leduc)",10.2350000000001,165.4,208.6,2,4000
"4000.5...32","aggregation","leduc<-filterCol(leduc)",426.54,-10.6,116.8,2,4000
"4000.6...33","aggregation","aggregatePSM(leduc)",83.5,266.7,348.3,2,4000
"4000.7...34","aggregation","leduc<-filterRow(leduc)",10.2290000000003,165.4,208.6,3,4000
"4000.8...35","aggregation","leduc<-filterCol(leduc)",428.628,-10.6,117.1,3,4000
"4000.9...36","aggregation","aggregatePSM(leduc)",82.5729999999999,266.7,348.3,3,4000
"500.1...37","allOpti","leduc<-filterRow(leduc)",1.15700000000001,20.3,63.1,1,500
"500.2...38","allOpti","leduc<-filterCol(leduc)",0.908999999999992,-1.20000000000002,36.3,1,500
"500.3...39","allOpti","aggregatePSM(leduc)",9.505,32.5,80.9,1,500
"500.4...40","allOpti","leduc<-filterRow(leduc)",1.129,20.2,60.9,2,500
"500.5...41","allOpti","leduc<-filterCol(leduc)",0.890000000000001,-1.30000000000001,30.3,2,500
"500.6...42","allOpti","aggregatePSM(leduc)",9.33800000000002,32.5,78.6,2,500
"500.7...43","allOpti","leduc<-filterRow(leduc)",1.12700000000001,20.2,60.9,3,500
"500.8...44","allOpti","leduc<-filterCol(leduc)",0.883999999999986,-1.30000000000001,30.3,3,500
"500.9...45","allOpti","aggregatePSM(leduc)",9.29599999999999,32.5,77.9,3,500
"1000.1...46","allOpti","leduc<-filterRow(leduc)",2.40699999999998,41.2,93.4,1,1000
"1000.2...47","allOpti","leduc<-filterCol(leduc)",1.846,-2.59999999999997,43.3,1,1000
"1000.3...48","allOpti","aggregatePSM(leduc)",19.1079999999999,66.4,126.1,1,1000
"1000.4...49","allOpti","leduc<-filterRow(leduc)",2.40699999999998,41.2,93.4,2,1000
"1000.5...50","allOpti","leduc<-filterCol(leduc)",1.846,-2.59999999999997,43.2,2,1000
"1000.6...51","allOpti","aggregatePSM(leduc)",19.05,66.4,128.2,2,1000
"1000.7...52","allOpti","leduc<-filterRow(leduc)",2.40899999999999,41.2,93.4,3,1000
"1000.8...53","allOpti","leduc<-filterCol(leduc)",1.86099999999999,-2.59999999999997,43.2,3,1000
"1000.9...54","allOpti","aggregatePSM(leduc)",19.042,66.4,129.2,3,1000
"2000.1...55","allOpti","leduc<-filterRow(leduc)",4.88499999999999,82.9,111.1,1,2000
"2000.2...56","allOpti","leduc<-filterCol(leduc)",3.79399999999998,-5.19999999999999,67.4,1,2000
"2000.3...57","allOpti","aggregatePSM(leduc)",39.009,133.7,224.7,1,2000
"2000.4...58","allOpti","leduc<-filterRow(leduc)",4.90600000000006,82.9,111.1,2,2000
"2000.5...59","allOpti","leduc<-filterCol(leduc)",3.81899999999996,-5.19999999999999,67.4,2,2000
"2000.6...60","allOpti","aggregatePSM(leduc)",40.059,133.7,214.3,2,2000
"2000.7...61","allOpti","leduc<-filterRow(leduc)",4.88400000000001,82.9,111.1,3,2000
"2000.8...62","allOpti","leduc<-filterCol(leduc)",3.79600000000005,-5.19999999999999,67.4,3,2000
"2000.9...63","allOpti","aggregatePSM(leduc)",39.138,133.7,226.3,3,2000
"4000.1...64","allOpti","leduc<-filterRow(leduc)",10.085,164.2,207.3,1,4000
"4000.2...65","allOpti","leduc<-filterCol(leduc)",7.9219999999998,-10.4,115.2,1,4000
"4000.3...66","allOpti","aggregatePSM(leduc)",81.3109999999999,264.7,349.9,1,4000
"4000.4...67","allOpti","leduc<-filterRow(leduc)",10.1199999999999,164.2,207.3,2,4000
"4000.5...68","allOpti","leduc<-filterCol(leduc)",7.84799999999996,-10.4,115.2,2,4000
"4000.6...69","allOpti","aggregatePSM(leduc)",82.489,264.7,344.7,2,4000
"4000.7...70","allOpti","leduc<-filterRow(leduc)",10.4860000000001,164.2,207.3,3,4000
"4000.8...71","allOpti","leduc<-filterCol(leduc)",8.15499999999997,-10.4,115.2,3,4000
"4000.9...72","allOpti","aggregatePSM(leduc)",86.1870000000001,264.7,345.9,3,4000
"500.1...73","base","leduc<-filterRow(leduc)",1.203,20.1,62.7,1,500
"500.2...74","base","leduc<-filterCol(leduc)",6.84099999999999,-1.19999999999999,34.9,1,500
"500.3...75","base","aggregatePSM(leduc)",16.616,32.7,89.4,1,500
"500.4...76","base","leduc<-filterRow(leduc)",1.21100000000001,20.1,60.6,2,500
"500.5...77","base","leduc<-filterCol(leduc)",6.87199999999999,-1.30000000000001,30.2,2,500
"500.6...78","base","aggregatePSM(leduc)",16.335,32.5,85.4,2,500
"500.7...79","base","leduc<-filterRow(leduc)",1.208,20.1,60.6,3,500
"500.8...80","base","leduc<-filterCol(leduc)",7.68600000000001,-1.30000000000001,30.2,3,500
"500.9...81","base","aggregatePSM(leduc)",16.273,32.5,85.5,3,500
"1000.1...82","base","leduc<-filterRow(leduc)",2.50600000000003,38.9,90.8,1,1000
"1000.2...83","base","leduc<-filterCol(leduc)",26.813,-2.39999999999998,41.3,1,1000
"1000.3...84","base","aggregatePSM(leduc)",45.566,63.4,111.2,1,1000
"1000.4...85","base","leduc<-filterRow(leduc)",2.553,38.9,90.7,2,1000
"1000.5...86","base","leduc<-filterCol(leduc)",26.865,-2.39999999999998,41,2,1000
"1000.6...87","base","aggregatePSM(leduc)",44.494,63.4,107,2,1000
"1000.7...88","base","leduc<-filterRow(leduc)",2.52100000000002,38.9,90.7,3,1000
"1000.8...89","base","leduc<-filterCol(leduc)",26.9349999999999,-2.39999999999998,41.4,3,1000
"1000.9...90","base","aggregatePSM(leduc)",45.6600000000001,63.4,108.3,3,1000
"2000.1...91","base","leduc<-filterRow(leduc)",5.04899999999998,81.4,110.3,1,2000
"2000.2...92","base","leduc<-filterCol(leduc)",109.094,-5.19999999999999,67.1,1,2000
"2000.3...93","base","aggregatePSM(leduc)",139.567,132.9,186.2,1,2000
"2000.4...94","base","leduc<-filterRow(leduc)",5.13199999999983,81.4,110.3,2,2000
"2000.5...95","base","leduc<-filterCol(leduc)",108.893,-5.19999999999999,66.9,2,2000
"2000.6...96","base","aggregatePSM(leduc)",138.79,132.9,183.8,2,2000
"2000.7...97","base","leduc<-filterRow(leduc)",5.24599999999987,81.4,110.3,3,2000
"2000.8...98","base","leduc<-filterCol(leduc)",110.654,-5.19999999999999,66.8,3,2000
