"","version","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","replicate","subset_size"
"500.1...1","aggregation","leduc<-filterRow(leduc)",0.251999999999995,19.6,38.6,1,500
"500.2...2","aggregation","leduc<-filterCol(leduc)",6.056,-1.20000000000002,42.6,1,500
"500.3...3","aggregation","aggregatePSM(leduc)",6.20099999999999,31.7,83.4,1,500
"500.4...4","aggregation","leduc<-filterRow(leduc)",0.244,19.4,37.3,2,500
"500.5...5","aggregation","leduc<-filterCol(leduc)",6.04900000000001,-1.30000000000001,38.1,2,500
"500.6...6","aggregation","aggregatePSM(leduc)",6.06899999999999,31.6,81,2,500
"500.7...7","aggregation","leduc<-filterRow(leduc)",0.240999999999985,19.4,37.3,3,500
"500.8...8","aggregation","leduc<-filterCol(leduc)",6.04300000000001,-1.19999999999999,38.1,3,500
"500.9...9","aggregation","aggregatePSM(leduc)",6.048,31.5,80.3,3,500
"1000.1...10","aggregation","leduc<-filterRow(leduc)",0.473000000000013,39.3,75.2,1,1000
"1000.2...11","aggregation","leduc<-filterCol(leduc)",24.802,-2.60000000000002,42.7,1,1000
"1000.3...12","aggregation","aggregatePSM(leduc)",12.391,63.9,136.1,1,1000
"1000.4...13","aggregation","leduc<-filterRow(leduc)",0.473000000000013,39.3,75.2,2,1000
"1000.5...14","aggregation","leduc<-filterCol(leduc)",24.888,-2.60000000000002,43.2,2,1000
"1000.6...15","aggregation","aggregatePSM(leduc)",12.353,63.9,146.2,2,1000
"1000.7...16","aggregation","leduc<-filterRow(leduc)",0.472000000000037,39.3,75.2,3,1000
"1000.8...17","aggregation","leduc<-filterCol(leduc)",24.911,-2.60000000000002,43.2,3,1000
"1000.9...18","aggregation","aggregatePSM(leduc)",13.041,63.9,140,3,1000
"2000.1...19","aggregation","leduc<-filterRow(leduc)",0.934999999999945,79.1,151.1,1,2000
"2000.2...20","aggregation","leduc<-filterCol(leduc)",102.997,-5.09999999999997,67.8,1,2000
"2000.3...21","aggregation","aggregatePSM(leduc)",25.6510000000001,128.5,225.3,1,2000
"2000.4...22","aggregation","leduc<-filterRow(leduc)",0.93100000000004,79.1,151.1,2,2000
"2000.5...23","aggregation","leduc<-filterCol(leduc)",103.681,-5.09999999999997,68.1,2,2000
"2000.6...24","aggregation","aggregatePSM(leduc)",25.736,128.5,220.5,2,2000
"2000.7...25","aggregation","leduc<-filterRow(leduc)",0.928999999999974,79.1,151.1,3,2000
"2000.8...26","aggregation","leduc<-filterCol(leduc)",102.731,-5.09999999999997,68.2,3,2000
"2000.9...27","aggregation","aggregatePSM(leduc)",25.6949999999999,128.5,230.1,3,2000
"4000.1...28","aggregation","leduc<-filterRow(leduc)",1.91199999999981,160.3,298.4,1,4000
"4000.2...29","aggregation","leduc<-filterCol(leduc)",421.245,-10.4,117.7,1,4000
"4000.3...30","aggregation","aggregatePSM(leduc)",54.211,260.1,388.8,1,4000
"4000.4...31","aggregation","leduc<-filterRow(leduc)",1.91799999999989,160.3,298.4,2,4000
"4000.5...32","aggregation","leduc<-filterCol(leduc)",421.735,-10.4,117.9,2,4000
"4000.6...33","aggregation","aggregatePSM(leduc)",53.8820000000001,260.1,384.2,2,4000
"4000.7...34","aggregation","leduc<-filterRow(leduc)",1.9109999999996,160.3,298.4,3,4000
"4000.8...35","aggregation","leduc<-filterCol(leduc)",419.494,-10.4,118,3,4000
"4000.9...36","aggregation","aggregatePSM(leduc)",53.7670000000003,260.1,387.9,3,4000
"500.1...37","allOpti","leduc<-filterRow(leduc)",0.251000000000005,18.8,37.7,1,500
"500.2...38","allOpti","leduc<-filterCol(leduc)",0.50200000000001,-1.09999999999999,27.9,1,500
"500.3...39","allOpti","aggregatePSM(leduc)",6.239,30.4,79.5,1,500
"500.4...40","allOpti","leduc<-filterRow(leduc)",0.245999999999995,18.7,36.5,2,500
"500.5...41","allOpti","leduc<-filterCol(leduc)",0.477000000000004,-1.19999999999999,22.2,2,500
"500.6...42","allOpti","aggregatePSM(leduc)",6.053,30.3,77.3,2,500
"500.7...43","allOpti","leduc<-filterRow(leduc)",0.242000000000004,18.7,36.4,3,500
"500.8...44","allOpti","leduc<-filterCol(leduc)",0.469999999999999,-1.19999999999999,22.1,3,500
"500.9...45","allOpti","aggregatePSM(leduc)",6.02199999999999,30.3,76.7,3,500
"1000.1...46","allOpti","leduc<-filterRow(leduc)",0.47399999999999,39.1,74.7,1,1000
"1000.2...47","allOpti","leduc<-filterCol(leduc)",0.894999999999982,-2.60000000000002,46.2,1,1000
"1000.3...48","allOpti","aggregatePSM(leduc)",12.44,63.3,125.2,1,1000
"1000.4...49","allOpti","leduc<-filterRow(leduc)",0.472999999999956,39.1,74.7,2,1000
"1000.5...50","allOpti","leduc<-filterCol(leduc)",0.895999999999958,-2.60000000000002,46.2,2,1000
"1000.6...51","allOpti","aggregatePSM(leduc)",12.46,63.3,123.3,2,1000
"1000.7...52","allOpti","leduc<-filterRow(leduc)",0.476999999999975,39.1,74.7,3,1000
"1000.8...53","allOpti","leduc<-filterCol(leduc)",0.899000000000001,-2.60000000000002,46.2,3,1000
"1000.9...54","allOpti","aggregatePSM(leduc)",12.416,63.3,134.3,3,1000
"2000.1...55","allOpti","leduc<-filterRow(leduc)",0.925000000000011,81.3,154,1,2000
"2000.2...56","allOpti","leduc<-filterCol(leduc)",1.85599999999999,-5.30000000000001,66.4,1,2000
"2000.3...57","allOpti","aggregatePSM(leduc)",25.6990000000001,131.9,251.1,1,2000
"2000.4...58","allOpti","leduc<-filterRow(leduc)",0.925999999999931,81.3,154,2,2000
"2000.5...59","allOpti","leduc<-filterCol(leduc)",1.86400000000003,-5.30000000000001,66.4,2,2000
"2000.6...60","allOpti","aggregatePSM(leduc)",26.8240000000001,131.9,243,2,2000
"2000.7...61","allOpti","leduc<-filterRow(leduc)",0.928999999999974,81.3,154,3,2000
"2000.8...62","allOpti","leduc<-filterCol(leduc)",1.86399999999992,-5.30000000000001,66.4,3,2000
"2000.9...63","allOpti","aggregatePSM(leduc)",25.75,131.9,238.3,3,2000
"4000.1...64","allOpti","leduc<-filterRow(leduc)",1.90700000000004,158.7,297.2,1,4000
"4000.2...65","allOpti","leduc<-filterCol(leduc)",3.88599999999997,-10.2,112.9,1,4000
"4000.3...66","allOpti","aggregatePSM(leduc)",53.192,257.7,368.9,1,4000
"4000.4...67","allOpti","leduc<-filterRow(leduc)",1.904,158.7,297.2,2,4000
"4000.5...68","allOpti","leduc<-filterCol(leduc)",3.88400000000001,-10.2,112.9,2,4000
"4000.6...69","allOpti","aggregatePSM(leduc)",54.241,257.7,366.9,2,4000
"4000.7...70","allOpti","leduc<-filterRow(leduc)",1.91399999999999,158.7,297.2,3,4000
"4000.8...71","allOpti","leduc<-filterCol(leduc)",3.89699999999993,-10.2,112.9,3,4000
"4000.9...72","allOpti","aggregatePSM(leduc)",53.2809999999999,257.7,372.6,3,4000
"500.1...73","base","leduc<-filterRow(leduc)",0.251000000000005,19,37.8,1,500
"500.2...74","base","leduc<-filterCol(leduc)",6.149,-1.09999999999999,42.3,1,500
"500.3...75","base","aggregatePSM(leduc)",10.73,31.3,92.2,1,500
"500.4...76","base","leduc<-filterRow(leduc)",0.244,19,36.6,2,500
"500.5...77","base","leduc<-filterCol(leduc)",6.10699999999999,-1.19999999999999,37.8,2,500
"500.6...78","base","aggregatePSM(leduc)",10.558,31.2,86.8,2,500
"500.7...79","base","leduc<-filterRow(leduc)",0.244,19,36.6,3,500
