"","thr","method","basemethod","meas","fullmethod","splitval","NBR","TP","FP","TN","FN","TOT_CALLED","DIFF","NONDIFF","TPR","FDR","satis","method.satis"
"1",0.001,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",749,727,22,6799,10,7558,747,6965,0.973226238286479,0.0293724966622163,"no","msqrob2_overallno"
"2",0.001,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",714,714,0,6821,23,7558,747,6965,0.955823293172691,0,"yes","pseudobulk_overallyes"
"3",0.001,"scp","scp","__padj","scp_overall","overall",730,725,5,6960,22,7712,747,6965,0.970548862115127,0.00684931506849315,"no","scp_overallno"
"4",0.002,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",761,728,33,6788,9,7558,747,6965,0.974564926372155,0.0433639947437582,"no","msqrob2_overallno"
"5",0.002,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",718,718,0,6821,19,7558,747,6965,0.961178045515395,0,"yes","pseudobulk_overallyes"
"6",0.002,"scp","scp","__padj","scp_overall","overall",732,726,6,6959,21,7712,747,6965,0.971887550200803,0.00819672131147541,"no","scp_overallno"
"7",0.003,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",770,729,41,6780,8,7558,747,6965,0.975903614457831,0.0532467532467532,"no","msqrob2_overallno"
"8",0.003,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",721,719,2,6819,18,7558,747,6965,0.962516733601071,0.00277392510402219,"yes","pseudobulk_overallyes"
"9",0.003,"scp","scp","__padj","scp_overall","overall",739,729,10,6955,18,7712,747,6965,0.975903614457831,0.013531799729364,"no","scp_overallno"
"10",0.004,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",773,729,44,6777,8,7558,747,6965,0.975903614457831,0.0569210866752911,"no","msqrob2_overallno"
"11",0.004,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",721,719,2,6819,18,7558,747,6965,0.962516733601071,0.00277392510402219,"yes","pseudobulk_overallyes"
"12",0.004,"scp","scp","__padj","scp_overall","overall",741,729,12,6953,18,7712,747,6965,0.975903614457831,0.0161943319838057,"no","scp_overallno"
"13",0.005,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",779,729,50,6771,8,7558,747,6965,0.975903614457831,0.0641848523748395,"no","msqrob2_overallno"
"14",0.005,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",723,720,3,6818,17,7558,747,6965,0.963855421686747,0.004149377593361,"yes","pseudobulk_overallyes"
"15",0.005,"scp","scp","__padj","scp_overall","overall",743,730,13,6952,17,7712,747,6965,0.977242302543507,0.0174966352624495,"no","scp_overallno"
"16",0.006,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",784,729,55,6766,8,7558,747,6965,0.975903614457831,0.0701530612244898,"no","msqrob2_overallno"
"17",0.006,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",724,720,4,6817,17,7558,747,6965,0.963855421686747,0.00552486187845304,"yes","pseudobulk_overallyes"
"18",0.006,"scp","scp","__padj","scp_overall","overall",747,731,16,6949,16,7712,747,6965,0.978580990629183,0.0214190093708166,"no","scp_overallno"
"19",0.007,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",788,729,59,6762,8,7558,747,6965,0.975903614457831,0.0748730964467005,"no","msqrob2_overallno"
"20",0.007,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",724,720,4,6817,17,7558,747,6965,0.963855421686747,0.00552486187845304,"yes","pseudobulk_overallyes"
"21",0.007,"scp","scp","__padj","scp_overall","overall",750,731,19,6946,16,7712,747,6965,0.978580990629183,0.0253333333333333,"no","scp_overallno"
"22",0.008,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",792,729,63,6758,8,7558,747,6965,0.975903614457831,0.0795454545454545,"no","msqrob2_overallno"
"23",0.008,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",725,720,5,6816,17,7558,747,6965,0.963855421686747,0.00689655172413793,"yes","pseudobulk_overallyes"
"24",0.008,"scp","scp","__padj","scp_overall","overall",755,733,22,6943,14,7712,747,6965,0.981258366800535,0.0291390728476821,"no","scp_overallno"
"25",0.009,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",798,729,69,6752,8,7558,747,6965,0.975903614457831,0.0864661654135338,"no","msqrob2_overallno"
"26",0.009,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",726,721,5,6816,16,7558,747,6965,0.965194109772423,0.0068870523415978,"yes","pseudobulk_overallyes"
"27",0.009,"scp","scp","__padj","scp_overall","overall",760,733,27,6938,14,7712,747,6965,0.981258366800535,0.0355263157894737,"no","scp_overallno"
"28",0.01,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",803,730,73,6748,7,7558,747,6965,0.977242302543507,0.0909090909090909,"no","msqrob2_overallno"
"29",0.01,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",729,722,7,6814,15,7558,747,6965,0.966532797858099,0.00960219478737997,"yes","pseudobulk_overallyes"
"30",0.01,"scp","scp","__padj","scp_overall","overall",761,733,28,6937,14,7712,747,6965,0.981258366800535,0.0367936925098555,"no","scp_overallno"
"31",0.011,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",809,730,79,6742,7,7558,747,6965,0.977242302543507,0.0976514215080346,"no","msqrob2_overallno"
"32",0.011,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",732,723,9,6812,14,7558,747,6965,0.967871485943775,0.0122950819672131,"no","pseudobulk_overallno"
"33",0.011,"scp","scp","__padj","scp_overall","overall",764,733,31,6934,14,7712,747,6965,0.981258366800535,0.0405759162303665,"no","scp_overallno"
"34",0.012,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",812,730,82,6739,7,7558,747,6965,0.977242302543507,0.100985221674877,"no","msqrob2_overallno"
"35",0.012,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",733,723,10,6811,14,7558,747,6965,0.967871485943775,0.0136425648021828,"no","pseudobulk_overallno"
"36",0.012,"scp","scp","__padj","scp_overall","overall",769,733,36,6929,14,7712,747,6965,0.981258366800535,0.046814044213264,"no","scp_overallno"
"37",0.013,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",816,730,86,6735,7,7558,747,6965,0.977242302543507,0.105392156862745,"no","msqrob2_overallno"
"38",0.013,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",734,724,10,6811,13,7558,747,6965,0.969210174029451,0.0136239782016349,"no","pseudobulk_overallno"
"39",0.013,"scp","scp","__padj","scp_overall","overall",771,733,38,6927,14,7712,747,6965,0.981258366800535,0.0492866407263294,"no","scp_overallno"
"40",0.014,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",818,730,88,6733,7,7558,747,6965,0.977242302543507,0.107579462102689,"no","msqrob2_overallno"
"41",0.014,"pseudobulk","pseudobulk","__padj","pseudobulk_overall","overall",736,724,12,6809,13,7558,747,6965,0.969210174029451,0.016304347826087,"no","pseudobulk_overallno"
"42",0.014,"scp","scp","__padj","scp_overall","overall",773,733,40,6925,14,7712,747,6965,0.981258366800535,0.0517464424320828,"no","scp_overallno"
"43",0.015,"msqrob2","msqrob2","__padj","msqrob2_overall","overall",822,730,92,6729,7,7558,747,6965,0.977242302543507,0.111922141119221,"no","msqrob2_overallno"
