"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",3.24700000000001,522.9,541
"3","leduc<-leducSCR(leduc)",4.385,50.2999999999997,410.6
"4","leduc<-leducScSums(leduc)",3.91799999999999,-77.5999999999999,380.9
"5","leduc<-leducNormToRef(leduc)",11.819,0.200000000000045,62.4000000000001
"6","leduc<-leducAggPSM(leduc)",97.826,145.7,205
"7","leduc<-leducConsensus(leduc,assaysNames)",3.214,0.199999999999818,102.6
"8","leduc<-leducMissingData(leduc,assaysNames)",11.563,0,74.8000000000002
"9","leduc<-leducJoin(leduc,assaysNames)",6.988,130.1,379.8
"10","leduc<-leducFilterCV(leduc,assaysNames)",6.19399999999999,-329.3,126.7
"11","leduc<-leducNormPep(leduc)",1.14499999999998,27.3,128.2
"12","leduc<-leducFilteringNA(leduc)",2.56,7,137.9
"13","leduc<-leducLogTransfo(leduc)",0.540999999999997,10.2,46.6000000000001
"14","leduc<-leducAggPep(leduc)",0.826999999999998,5.09999999999991,73.9000000000001
"15","leduc<-leducNormPro(leduc)",1.12900000000002,4.60000000000014,52
"16","leduc<-leducImpute(leduc)",2.74599999999998,-212,308.2
"17","leduc<-leducBatch(leduc)",1.524,2.5,45.3999999999999
"18","leduc<-leducNormBatch(leduc)",1.15899999999999,4.59999999999991,51.0999999999999
"19","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=sizeOutputPath,append=TRUE,col.names=FALSE,row.names=FALSE)",0.106999999999999,0,133.9
