"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0.00100000000020373,0,0
"2","leduc<-leducFilterFeatures(leduc)",32.1749999999993,137.3,2135.9
"3","leduc<-leducSCR(leduc)",40.8309999999983,195.1,1612.5
"4","leduc<-leducScSums(leduc)",38.3810000000012,-315.9,1462.8
"5","leduc<-leducNormToRef(leduc)",361.263999999999,0.599999999999909,199.3
"6","leduc<-leducAggPSM(leduc)",781.134000000002,573.4,693.7
"7","leduc<-leducConsensus(leduc,assaysNames)",24.112000000001,0,350
"8","leduc<-leducMissingData(leduc,assaysNames)",124.220000000001,0,283.1
"9","leduc<-leducJoin(leduc,assaysNames)",73.3709999999992,631.4,1559.3
"10","leduc<-leducNormPep(leduc)",17.1089999999967,1221.5,3320.2
"11","leduc<-leducFilteringNA(leduc)",27.1290000000008,-178.5,3841.1
"12","leduc<-leducLogTransfo(leduc)",5.333000000006,429.5,896.2
"13","leduc<-leducAggPep(leduc)",9.65399999999499,185.299999999999,1982.6
"14","leduc<-leducNormPro(leduc)",10.747000000003,184.8,857.3
"15","leduc<-leducImpute(leduc)",2402.339,-1238.3,3249.9
"16","leduc<-leducBatch(leduc)",8.44900000000052,92.4000000000005,658.700000000001
"17","leduc<-leducNormBatch(leduc)",10.9489999999932,184.8,955
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.85399999999936,0,518
