"","Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB"
"1","assaysNames<-names(leduc)",0,0,0
"2","leduc<-leducFilterFeatures(leduc)",4.76000000000022,-3386.8,568.8
"3","leduc<-leducSCR(leduc)",6.39699999999993,50.3999999999999,425.3
"4","leduc<-leducScSums(leduc)",5.44800000000032,-77.3999999999999,373.9
"5","leduc<-leducNormToRef(leduc)",8.07000000000062,0.100000000000136,70.3
"6","leduc<-leducAggPSM(leduc)",178.795,144.9,266.1
"7","leduc<-leducConsensus(leduc,assaysNames)",6.33400000000074,0,116.7
"8","leduc<-leducMissingData(leduc,assaysNames)",21.8979999999992,0,94.5
"9","leduc<-leducJoin(leduc,assaysNames)",13.241,130,503.2
"10","leduc<-leducNormPep(leduc)",1.80799999999999,246.7,1402.6
"11","leduc<-leducFilteringNA(leduc)",2.02099999999973,-0.900000000000091,1202.3
"12","leduc<-leducLogTransfo(leduc)",0.570999999999913,119.9,293.2
"13","leduc<-leducAggPep(leduc)",1.92200000000048,48.8000000000002,612.1
"14","leduc<-leducNormPro(leduc)",1.1230000000005,48.4000000000001,390.2
"15","leduc<-leducImpute(leduc)",132.534,-306.8,2986.1
"16","leduc<-leducBatch(leduc)",0.755999999999403,24.1999999999998,222.9
"17","leduc<-leducNormBatch(leduc)",1.15599999999995,48.4000000000001,419.2
"18","write.table(data.frame(nCell=as.integer(nCell),rep=as.integer(rep),size=object.size(leduc)),file=file.path(outputDir,""size_report.tsv""),append=TRUE,col.names=FALSE,row.names=FALSE)",0.234000000000378,0,136.6
